Author,CN,Bachelor,Master,PhD,Github,Homepage,
Jingren Zhou,,,,,,,
Jinqiao Dou,,,,,,,
Jinyu Li,李劲宇,,,,,,
Jinzheng He,,,,,,,
Jinzhu Li,,,,,,,
Johanna Kuch,,,,,,,
John Miller,,,,,,,
Jonas Beskow,,,,,,,
Jonathan Raiman,,,,,,,
Jonathan Shen,,,,,,,
Jose Sotelo,,,,,,,
Juhee Son,,,,,,,
Julian Weber,,,,,,,
Jun Han,,,,,,,
Jun Ma,,,,,,,
Jun Wang,,,,,,,
Jun Zhan,,,,,,,
Junan Zhang,,,,,,,
Jungil Kong,,,,,,,
Junhui Liu,,,,,,,
Junhyeok Lee,,,,,,,
Junjie Li,李俊杰,,,,,,
Junzuo Zhou,,,,,,,
Justin Lovelace,,,,,,,
Kai Chen,,,,,,,
Kai Hu,,,,,,,
Kai Shen,沈锴,,,,,,
Kai Yu,俞凯 (教授),,,,,,
Kai-wei Chang,张凯为,,,台湾大学 (NTU),https://github.com/ga642381,https://kwchang.org,
Kainan Peng,,,,,,,
Kaitao Song,宋恺涛,,,,,,
Karen Simonyan,,,,,,,
Karl El Hajal,,,,,,,
Kehan Li,,,,,,,
Keon Lee,,,,,,,
Kevin Shih,,,,,,,
Kexin Zhao,,,,,,,
Kilian Q. Weinberger,,,,,,,
Koray Kavukcuoglu,,,,,,,
Krishna C. Puvvada,,,,,,,
Kuan Chen,,,,,,,
Kun Song,宋堃,,,,,,
Kun Xie,,,,,,,
Kundan Kumar,,,,,,,
Kushal Lakhotia,,,,,,,
Kwangyoun Kim,,,,,,,
Le Xu,,,,,,,
Lei He,何磊,,,,,,
Lei Xie,谢磊,,,,,,
Lexiao Zou,,,,,,,
Leying Zhang,,,,,,,
Li Xiao,,,,,,,
Liejun Wang,,,,,,,
Lin Li,李琳,,,,,,
Lingwei Meng,,,,,,,
Lingyan Huang,,,,,,,
Linhan Ma,马林涵,,,,,,
Lior Wolf,,,,,,,
Liumeng Xue,薛浏蒙 (博士后),,,西北工业大学 (NPU),https://github.com/lmxue,,
Long Zhou,周龙,,,,,,
Lu Jiang,,,,,,,
Lucas Gestion,,,,,,,
Manthan Thakker,,,,,,,
Marco Tagliasacchi,,,,,,,
Mark D. Plumbley,,,,,,,
Mathew Magimai.-Doss,,,,,,,
Matt Sharifi,,,,,,,
Max W. Y. Lam,,,,,,,
Mengyue Wu,,,,,,,
Michael Auli,,,,,,,
Michael Chinen,,,,,,,
Mike Schuster,,,,,,,
Mikolaj Binkowski,,,,,,,
Min Tang,,,,,,,
Min-Jae Hwang,,,,,,,
Minchuan Chen,,,,,,,
Ming Liu,,,,,,,
Minghui Fang,,,,,,,
Mingxuan Wang,,,,,,,
Mingze Li,,,,,,,
Moacir Antonelli Ponti,,,,,,,
Naihan Li,,,,,,,
Nal Kalchbrenner,,,,,,,
Nanxin Chen,,,,,,,
Naoyuki Kanda,,,,,,,
Navdeep Jaitly,,,,,,,
Neil Zeghidour,,,,,,,
Nicolas Obin,,,,,,,
Nima Mesgarani,,,,,https://github.com/magicse,,
Nithin Rao Koluguri,,,,,,,
Nobuyuki Morioka,,,,,,,
Nori Jacoby,,,,,,,
Norman Casagrande,,,,,,,
Oleksii Hrinchuk,,,,,,,
Olivier Pietquin,,,,,,,
Olivier Teboul,,,,,,,
Ondrej Klejch,,,,,,,
Oriol Vinyals,,,,,,,
Otto Grothe,,,,,,,
Peiwen Sun,,,,,,,
Pengfei Wei,,,,,,,
Pengyu Wang,,,,,,,
Peter Bell,,,,,,,
Peter M. C. Harrison,,,,,,,
Peter Wu,,,,,,,
Phil Wang,,,,,https://github.com/lucidrains,,
Piotr Dura,,,,,,,
Piotr Zelasko,,,,,,,
Po-Yao Huang,,,,,,,
Pol van Rijn,,,,,,,
Prem Seetharaman,,,,,,,
Puyuan Peng,,,,,,,
Qian Chen,,,,,,,
Qian Yang,,,,,,,
Qifeng Liu,柳崎峰,,,,,,
Qin Jin,,,,,,,
Qingyang Hong,洪青阳,,,,,,
Qiuqiang Kong,,,,,,,
Qixin Wang,,,,,,,
Quoc Le,,,,,,,
RJ Skerry-Ryan,,,,,,,
Rafael Valle,,,,,,,
Raphael Marinier,,,,,,,
Rif A. Saurous,,,,,,,
Rishabh Bhardwaj,,,,,,,
Rithesh Kumar,,,,,,,
Rob Clark,,,,,,,
Rohan Badlani,,,,,,,
Ron J. Weiss,,,,,,,
Ronan Collobert,,,,,,,
Rongjie Huang,黄融杰,,,,https://github.com/Rongjiehuang,https://rongjiehuang.github.io,
Ruben Schlagowski,,,,,,,
Ruibo Fu,傅睿博,,,,,,
Ruibo Tu,,,,,,,
Ruiqi Li,,,,,,,
Ruiqing Xue,,,,,,,
Ruoming Pang,,,,,,,
Ruslan Salakhutdinov,,,,,,,
Samy Bengio,,,,,,,
Sander Dieleman,,,,,,,
Sang Hoon Woo,,,,,,,
Sang-Hoon Lee,,,,,,,
Sang-gil Lee,,,,,,,
Sangjin Kim,,,,,,,
Sanyuan Chen,陈三元,,,,,,
Seb Noury,,,,,,,
Sefik Emre Eskimez,,,,,,,
Seong-Whan Lee,,,,,,,
Sercan O. Arik,,,,,,,
Sergey Ioffe,,,,,,,
Sertan Girgin,,,,,,,
Seung-Bin Kim,,,,,,,
Seungjun Chung,,,,,,,
Shan Yang,,,,,,,
Shang-Wen Li,,,,,,,
Shaojun Wang,,,,,,,
Sharan Narang,,,,,,,
Sheng Zhao,赵胜,,,,,,
Shengpeng Ji,,,,,https://github.com/jishengpeng,https://novateurjsp.github.io,
Shikun Zhang,张世琨,,,,,,
Shiliang Zhang,,,,,,,
Shimin Li,,,,,,,
Shinji Watanabe,,,,,,,
Shinnosuke Takamichi,高道慎之介,,,,,,
Shivam Mehta,,,,,,,
Shuai Wang,王帅,,,,,,
Shuang Liang,,,,,,,
Shubham Jain,,,,,,,
Shuchen Shi,,,,,,,
Shujie Hu,,,,,,,
Shujie Liu,刘树杰,,,,,,
Shulei Wang,,,,,,,
Shulin He,,,,,,,
Shun Lei,,,,,,,
Shuoyi Zhou,,,,,,,
Siliang Tang,,,,,,,
Silvan Mertes,,,,,,,
Siqi Zheng,,,,,,,
Siyin Wang,,,,,,,
Soham Ray,,,,,,,
Songtao Zhou,,,,,,,
Songxiang Liu,,,,,,,
Soroush Mehri,,,,,,,
