ID,Abbr,ArXiv,ArXivDate,NewestDate,Title,Insitutions,Publish,DOI,Demo,Tags,Github,Authors
ju2024naturalspeech,NaturalSpeech3,2403.03100v3,2024.03.05,2024.04.23,NaturalSpeech 3: Zero-Shot Speech Synthesis with Factorized Codec and Diffusion Models,,ICML2024Oral,,,,,"Zeqian Ju, Yuancheng Wang, Kai Shen, Xu Tan, Detai Xin, Dongchao Yang, Yanqing Liu, Yichong Leng, Kaitao Song, Siliang Tang, Zhizheng Wu, Tao Qin, Xiang-Yang Li, Wei Ye, Shikun Zhang, Jiang Bian, Lei He, Jinyu Li, Sheng Zhao"
liu2024generative,NCSSD,2407.21491v2,2024.07.31,2024.08.01,Generative Expressive Conversational Speech Synthesis,,,,,Dataset,,"Rui Liu, Yifan Hu, Yi Ren, Xiang Yin, Haizhou Li"
niu2024ndvq,NDVQ,2409.12717v1,2024.09.19,2024.09.19,NDVQ: Robust Neural Audio Codec with Normal Distribution-Based Vector Quantization,"SJTU(X-LANCE)@CHN,MSRA",,,,,,"Zhikang Niu, Sanyuan Chen, Long Zhou, Ziyang Ma, Xie Chen, Shujie Liu"
nvidia2024nemotron-4,Nemotron-4,2406.11704v2,2024.06.17,2024.08.06,Nemotron-4 340B Technical Report,,,,,,,"Nvidia, :, Bo Adler, Niket Agarwal, Ashwath Aithal, Dong H. Anh, Pallab Bhattacharya, Annika Brundyn, Jared Casper, Bryan Catanzaro, Sharon Clay, Jonathan Cohen, Sirshak Das, Ayush Dattagupta, Olivier Delalleau, Leon Derczynski, Yi Dong, Daniel Egert, Ellie Evans, Aleksander Ficek, Denys Fridman, Shaona Ghosh, Boris Ginsburg, Igor Gitman, Tomasz Grzegorzek, Robert Hero, Jining Huang, Vibhu Jawa, Joseph Jennings, Aastha Jhunjhunwala, John Kamalu, Sadaf Khan, Oleksii Kuchaiev, Patrick LeGresley, Hui Li, Jiwei Liu, Zihan Liu, Eileen Long, Ameya Sunil Mahabaleshwarkar, Somshubra Majumdar, James Maki, Miguel Martinez, Maer Rodrigues de Melo, Ivan Moshkov, Deepak Narayanan, Sean Narenthiran, Jesus Navarro, Phong Nguyen, Osvald Nitski, Vahid Noroozi, Guruprasad Nutheti, Christopher Parisien, Jupinder Parmar, Mostofa Patwary, Krzysztof Pawelec, Wei Ping, Shrimai Prabhumoye, Rajarshi Roy, Trisha Saar, Vasanth Rao Naik Sabavat, Sanjeev Satheesh, Jane Polak Scowcroft, Jason Sewall, Pavel Shamis, Gerald Shen, Mohammad Shoeybi, Dave Sizer, Misha Smelyanskiy, Felipe Soares, Makesh Narsimhan Sreedhar, Dan Su, Sandeep Subramanian, Shengyang Sun, Shubham Toshniwal, Hao Wang, Zhilin Wang, Jiaxuan You, Jiaqi Zeng, Jimmy Zhang, Jing Zhang, Vivienne Zhang, Yian Zhang, Chen Zhu"
pia2022nesc,NESC,2207.03282v1,2022.07.07,2022.07.07,NESC: Robust Neural End-2-End Speech Coding with GANs,,,,,,,"Nicola Pia, Kishan Gupta, Srikanth Korse, Markus Multrus, Guillaume Fuchs"
han2024nest-rq,NEST-RQ,2409.08680v1,2024.09.13,2024.09.13,NEST-RQ: Next Token Prediction for Speech Self-Supervised Pre-Training,,,,,,,"Minglun Han, Ye Bai, Chen Shen, Youjia Huang, Mingkun Huang, Zehua Lin, Linhao Dong, Lu Lu, Yuxuan Wang"
yang2024neugpt,NeuGPT,2410.20916v1,2024.10.28,2024.10.28,NeuGPT: Unified Multi-Modal Neural GPT,,,,,,,"Yiqian Yang, Yiqun Duan, Hyejeong Jo, Qiang Zhang, Renjing Xu, Oiwi Parker Jones, Xuming Hu, Chin-teng Lin, Hui Xiong"
wu2023next-gpt,NExT-GPT,2309.05519v3,2023.09.11,2024.06.25,NExT-GPT: Any-to-Any Multimodal LLM,,,,,,,"Shengqiong Wu, Hao Fei, Leigang Qu, Wei Ji, Tat-Seng Chua"
kazemnejad2023impact,NoPE,2305.19466v2,2023.05.31,2023.11.06,The Impact of Positional Encoding on Length Generalization in Transformers,,,,,,,"Amirhossein Kazemnejad, Inkit Padhi, Karthikeyan Natesan Ramamurthy, Payel Das, Siva Reddy"
lu2025improving,NR-LauraTTS,2505.13830v2,2025.05.20,2025.05.22,Improving Noise Robustness of LLM-based Zero-Shot TTS via Discrete Acoustic Token Denoising,,,,,,,"Ye-Xin Lu, Hui-Peng Du, Fei Liu, Yang Ai, Zhen-Hua Ling"
