Time,Model,Submodel,PreTrained,Datasets,Datasets Durations (Hrs),Datasets Domain,Training Iterations,Sampling Rate (kHz),Quantization,Number of Q,Frame Rate (Hz),Vocabulary Size Per Q,Bitrate (kbps)
2024.08.29,WavTokenizer,,medium-320-24k-4096,-,10k,Speech+Audio+Music
2024.08.29,WavTokenizer,,small-320-24k-4096,LibriTTS,-,Speech,,24,VQ,1,75,4096,0.9
2024.08.29,WavTokenizer,,small-600-24k-4096,LibriTTS,-,Speech,,24,VQ,1,40,4096,0.48
2024.08.30,X-Codec,,xcodec-hubert-general,200k hours internal data,200k,General Audio
2024.08.30,X-Codec,,xcodec-hubert-general-balanced,more balanced data,,General Audio
2024.08.30,X-Codec,,xcodec-hubert-librispeech,LibriSpeech,,Speech,,16,RVQ,8,50,1024,4
2024.08.30,X-Codec,,xcodec-wavlm-mls,MLS English,,Speech
2024.08.30,X-Codec,,xcodec-wavlm-more-data,MLS English + Internal data,,Speech
2024.09.02,SoCodec,,,,,,,16,GVQ,"[1,4,8]","[25,8.3,4.2]",16384,"[0.35,0.47]"
2024.09.09,BigCodec,,bigcodec.pt,LibriSpeech,,,,16,SVQ,1,80,8192,1.04
2024.09.17,Mimi,,,,,,,24,RVQ,8,12.5,2048,1.1
2024.09.17,SD-Codec,,,,,,,16,RVQ,12,50,1024,6
2024.09.18,CoFi-Codec,,NO AVAILABLE,WenetSpeech4TTS,,,,16,GVQ,3,8.33+25+50,16384,1.17
2024.09.18,LFSC,,,MLS English + Common Voice,28.7k,Speech,,22.05,FSQ,8,21.5,2016,1.89
2024.09.19,NDVQ,,,,,,,24,RVQ,32,75,1024,24
2024.10.08,VRVQ,,,,,,,44.1,RVQ,8,86,1024,0.26+max6.89
2024.10.18,SNAC,,,,,,,24,RVQ,3,12+23+47,4096,0.98
2024.10.19,DM-Codec,,DM-Codec_checkpoint_LM_SM,,,,,16,RVQ,8,50,1024,4
2024.10.19,DM-Codec,,DM-Codec_checkpoint_LM,,,,,16,RVQ,8,50,1024,4
2024.10.21,LSCodec,,lscodec_25hz,LibriTTS,,,,24,VQ,1,25,1024,0.25
2024.10.21,LSCodec,,lscodec_50hz,LibriTTS,,,,24,VQ,1,50,300,0.45
2024.11.27,TS3-Codec,,NO AVAILABLE,Libri-Light,,Speech,,16,VQ,1,40,65536,0.64
2024.11.27,TS3-Codec,,NO AVAILABLE,,,,,16,VQ,1,50,131072,0.85
2024.11.29,Stable-Codec,,,,,,,16,FSQ,"[6,12]",25,"[5,6]","[0.40,0.70]"
2024.12.02,FreeCodec,,,LibriSpeech,,,,16,VQ,1+1,50+7,256,0.45
2025.02.06,X-Codec2,,xcodec2,,,,,16,FSQ,1,50,16384,0.7
